verb,sentence,verb_idx,label,definition
flourishing,"Another problem facing Mr. Gorbachev is the growing nationalist sentiment among the Soviet Union 's ethnic minorities , sentiment that is flourishing in the current political climate",21,1,to reach a height of development or influence
flows,"Although a study for the Justice Department found that more than 99 % of all telephone traffic flows through the local networks , the Bell companies fear that a significant portion of their business could be drained off",17,1,to move with a continual change of place among the constituent particles
eating,"Beyond that , conditions on board were so vile that '' the sailor was at greater risk eating his meals aboard than fighting . '",17,0,to take food or a meal
cool,"Pakistan has served as a conduit for U.S. aid to Afghan rebels , but the settlement may cause its relations with Washington to cool",23,1,to slow or lessen the growth or activity of
stumbled,"But the future of the bill remained unclear as the Senate stumbled forward on its version of the measure without the leadership of Lloyd Bentsen , the chairman of the Senate Finance Committee",11,1,to trip in walking or running
melting,"On the Cadillac Eldorado convertibles , water or melting snow dripping onto the window switch assembly when the driver 's door is open could cause an electrical short",8,0,to reduce from a solid to a liquid state usually by heat
dissolve,Do n't take them with orange juice . -LRB- They wo n't dissolve well . -RRB-/-R,12,0,to pass into solution
cooling,"Justin makes building products , cooling towers and boots",5,0,to make cool : impart a feeling of coolness to
lent,"The Atlanta - based company lent Ironton Iron $ 500 , 000 and has an option to buy it",5,0,to let out (money) for temporary use on condition of repayment with interest
touching,"When realistic paintings such as these were first viewed , by an educated class surfeited with romanticism and an upcoming middle class newly exposed to museums , they caused such commotion that for the first time in history police were necessary to keep people from touching the pictures",45,0,to bring a bodily part into contact with especially so as to perceive through the tactile sense : handle or feel gently usually with the intent to understand or appreciate
pumped,"Regardless of the election outcome , the towering federal deficit means the next president will inherit a flat defense budget and a far different defense climate than the one President Reagan enjoyed when he pumped up Pentagon spending virtually overnight in 1981",34,1,"to pour forth, deliver, or draw with or as if with a pump"
besieged,"People split their tickets from the presidential line to the House line because they know who the incumbent is , having been besieged by mail from the House member 's office and ads from his campaign and having been helped by his constituent case workers",22,1,to press with requests : importune
fly,"He is part of a growing air force of amateur aces around the country who rebuild and fly aging warplanes , indulging in weekend flights of fantasy like Mr. Deakins 's Battle of Stuart . -LRB- He won , he says , by keeping Mr. Stephenson , 48 , in his gun sights for 10 seconds ; the planes are unarmed",17,0,"to operate (something, such as a balloon, aircraft, rocket, or spacecraft) in flight"
escape,"Testing these waters , he tried to make book on whether Robert Bork would reach the Supreme Court and on how much Oral Roberts would raise in his attempt to escape being called to God , but the Gaming Control Board barred the action",30,0,to get away (as by flight)
pouring,"In buying CIT , Manufacturers repeated some of its missteps of its Third World and other lending , adopting a modish banking strategy and pouring proportionately more resources into it than competitors did",24,1,to supply or produce freely or copiously
fixed,"'' If there be any fixed star in our constitutional constellation , '' the court ruled , '' it is that no official , high or petty , can prescribe what shall be orthodox in politics , nationalism , religion , or other matters of opinion . '",5,0,not subject to change or fluctuation
fill,"Ad agency J. Walter Thompson Co . , moving to fill what is widely viewed as a critical management gap , hired a senior executive from rival Omnicom Group Inc. to become its top financial officer",10,1,to place a person in
roll,Charity officials say they need trustees who are willing to roll up their sleeves and work for the organization and who will back up their commitment with donations,10,1,to wrap round on itself : shape into a ball or roll ; also : to produce by such shaping
attacked,"Justice Abrams , so viciously attacked by Mr. Cooper , was earlier a hard - nosed career prosecutor",5,1,to assail with unfriendly or bitter words
grasp,"Gleeful opposition leaders have been quick to grasp the irony of the protests : Monimbo was the site of one of the first major uprisings against Anastasio Somoza , the hated dictator , a decade ago",7,1,to lay hold of with the mind : comprehend
stumbled,"The accident began Sept. 13 , 1987 , when villagers in Goiania , Brazil , stumbled on some radiotherapy equipment abandoned by a former health clinic there",15,1,to come unexpectedly or by chance
kick,"'' I thought I did a good job and got her home , '' Dr. Gardner says , '' and they turn around and kick me in the teeth . '",24,0,to strike suddenly and forcefully as if with the foot
eating,"Out - of - home entertainment -- such as films , sporting events , eating out , dancing , theater , shopping and amusement parks -- was a leisure - time activity for 43 % of respondents . -LRB- The survey included multiple responses . -RRB-/-R",14,1,to take food or a meal
melt,She seems to melt a little ; she fits in better with Yefim 's family,3,1,to make tender or gentle : soften
dragging,"But even though the leaders of the Communist Party have accepted much of Solidarity 's platform , they are dragging their feet",19,1,to cause to move with slowness or difficulty
eating,"Washington then all but put the game away by eating more than six minutes of the clock , and caging the Bears deep in their own end , with a drive in which Williams completed two third - down passes",9,1,to consume gradually : corrode
strike,"The union struck car haulers over a 1985 contract , but locals do n't want to strike this time , largely because the action is seen as having little clout while auto makers are closed for model changeover",16,0,to stop work in order to force an employer to comply with demands
touch,'' You lose elections if you touch these things . ',6,1,to deal with : become involved with
rests,"In a reminder of nature 's fickleness , the eye of this year 's drought rests just a couple of hundred miles north of here , along the Red River Valley between Minnesota and North Dakota",15,1,to sit or lie fixed or supported
escaping,"As a result , Mr. Bhirud said , the market may have trouble escaping from its recent trading range",13,1,to avoid a threatening evil
attacked,"The rate found by the study , which is designed to be definitive and to squelch second guessing , already is being attacked as too low",22,1,to assail with unfriendly or bitter words
cool,There is suspicion in U.S. industry and government that the latest effort is a political exercise to cool American complaints about subsidies and avert a trade war,17,1,"to moderate the heat, excitement, or force of : calm"
dragged,"In it , the hero gets dragged to the '' Cave Town '' mall by his mom , gets lost , gets found , and is rewarded with an ice cream cone",6,0,to bring by or as if by force or compulsion
besieged,The picture painted in the annual report shows one of the nation 's largest banking corporations besieged by problems that it seems unable to control,16,1,to cause worry or distress to : beset
touched,Investors ' fears have touched the bonds of companies not immediately identified as takeover targets,4,1,to relate to : concern
stumbled,"In his excitement , he has stumbled into hot - dog territory with naivete , which is characteristic of the big , brash and growing metropolis on the banks of Lake Michigan",6,1,to come unexpectedly or by chance
targeted,IBM targeted the EC Commission for special attention,1,1,to direct or use toward a target
targeting,"'' The Japanese have shown a talent for targeting a sector of technology , while U.S. industry plays a game of takeover and restructure , '' Mr. Quigg said",8,1,to direct or use toward a target
flooded,"So far , the outside money has n't flooded in ; Owens - Illinois and affiliates still account for 95 % of the mutual funds ' total assets of $ 267 million",8,1,to fill abundantly or excessively
absorb,"Emulating Japan 's broad - based conglomerates , Samsung Electronics Co. will officially absorb Samsung Semiconductor & Telecommunications Co",13,1,to take in and make part of an existent whole
killed,"Israel deported eight Palestinians to Lebanon and ordered the expulsion of 12 others , including six from the West Bank village where an Israeli teen - ager and two Palestinian youths were killed last week",32,0,to deprive of life : cause the death of
knocked,"I knocked at the bedroom door , and Father said the security company had just called to say there were certain '' irregularities '' that prevented them from keeping a watch over our store",1,0,to make a pounding noise
examine,The officials then began to examine some kind of combination between the two international airlines,5,1,to inquire into carefully : investigate
targeted,"Unions representing reporters and press operators also are likely to be targeted , union sources said",11,1,to make a target of ; especially : to set as a goal
wither,"That means just patching their patches , like some farmer making do with a secondhand tractor , until they wither away",19,1,to become dry and sapless ; especially : to shrivel from or as if from loss of bodily moisture
touching,"And some of the slice - of - life vignettes and profiles -LRB- the Viet Vet who 's out on the Florida streets fighting against AIDS ; the recycling center run by the homeless -RRB- are not only interesting , but touching as well",41,1,to move to sympathetic feeling
targeted,"Out of 2 , 500 patented Soviet technologies available , Lic - Con has targeted 10 for the U.S. market initially , including a ceramic spray - coating process ; a non - explosive powder for excavating rock ; and a water - resistant concrete binding agent",14,1,to direct or use toward a target
absorb,"The fatty deposits have a yellowish hue and therefore absorb more of the yellow laser energy than the surrounding , almost colorless artery wall",9,0,to transform (radiant energy) into a different form especially with a resulting rise in temperature
assaulting,"BEST -- Baker : Attempted in each post to make government function using , not assaulting , the democratic process",15,1,to make an assault
grasping,"It had wound itself around the erect herb many times , to the latter 's disadvantage , and now its upper tendrils were grasping the air , as if seeking an atmospheric foothold",23,0,to take or seize eagerly
evaporated,"When they repeated the tests with the special precautions , the sensational results evaporated",13,1,to pass off or away : disappear
attack,"In addition , Mr. Joseph said , referring to the subcommittee 's questions about Beatrice , Texstyrene and one other junk - bond issue , by Hanover Petroleum Corp . , '' I do n't think it 's fair at all to attack the firm over two or three instances . '",42,1,to assail with unfriendly or bitter words
knock,The way to topple Gen. Noriega economically was to knock him completely off balance with a sanctions blitz that would have made the Panamanian economy scream -LRB- as the Nixon administration tried to do to Salvador Allende 's Chile -RRB-,9,1,to strike sharply
drink,"As a solid red , however , good pinot noir is so pleasurable to drink , so versatile with food that demand from consumers is increasing rapidly , putting pressure on short supply",14,0,"swallow , imbibe"
besieged,"Budgetary gridlock , a possible financial crisis , and a presidency besieged almost immediately by pressing domestic and international economic problems",11,1,to cause worry or distress to : beset
attacking,"And , to slash costs , he is attacking United 's slow - moving , free - spending ways , even banning fresh flowers from his office",8,1,to assail with unfriendly or bitter words
destroy,Philippine troops launched a massive '' search and destroy '' operation in the Bicol region of Luzon following a Saturday attack by communist rebels in which 13 anti - guerrilla troops were killed,8,0,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
absorbed,"While the rest of the nation watched with mere curiosity or slight concern , the nation 's fourth - largest city was thoroughly absorbed by the approach of Hurricane Gilbert",23,1,to engage or engross wholly
planted,"On Friday , an analyst at another major commodity firm said he expects no more than 60 million acres to be planted to soybeans",21,0,to put or set in the ground for growth
dissolved,"When dissolved in water , the protein acts as a catalyst to aid the freezing process by increasing the effective freezing point of water by 8 degrees to 10 degrees Fahrenheit",1,0,to pass into solution
smooth,"At the same time , Coleco 's diversification plan -- which industry analysts approve of as a way to smooth out the company 's ups and down of the past -- has been disappointing so far",19,1,to free from what is harsh or disagreeable : polish
drag,The statement is enough to drag one back to one 's dog - eared copy of Madison 's 10th Federalist to read again that government sometimes exists to protect imperfect people from one another,5,1,to extract by or as if by pulling
melt,"Thanks to a new formula and colder dispensing equipment , Twistee Treat Corp. says its cones can be held for 12 minutes before starting to melt , twice as long as other brands",25,0,to reduce from a solid to a liquid state usually by heat
ridden,"The size of a Dalmatiner , these horses were ridden by teen - age boys dressed up as Valkyries to give an illusion of distance in the first production of the '' Ring . '",9,0,to travel on
examining,"Meanwhile , law - enforcement officials said that investigators are examining the fierce competition that developed between military contractors over a $ 168.9 million contract to build a prototype surveillance blimp for the Navy",10,1,to inquire into carefully : investigate
riding,"'' At last insane , at last at peace '' -- these are the thoughts a woman riding a bicycle beams up to the angels",17,0,to travel on
examines,"In other sections , Col . Elting examines the telegraph , map - making , military intelligence and counterintelligence , the importance of flags and banners and of drums and trumpets",7,0,to inquire into carefully : investigate
filled,Their melanin - producing system keeps the skin constantly filled with the dark pigment,9,0,to occupy the whole of
lending,The Farm Credit System Assistance Board said the government will provide more than $ 20.5 million to pay off stockholders in six lending units now being liquidated,22,0,to make a loan
escaping,"He also refused both domestic and U.S. calls to step aside for a compromise plebiscite candidate , who might have benefited from Chile 's economic boom while escaping the stigma of the Pinochet regime 's appalling humanrights record",27,1,to get or stay out of the way of : avoid
examining,"Before examining them , Mr. Araujo says he has to read the MiG flight manual , an unwieldly volume he discovered was written in Chinese",1,0,to inspect closely
sleeping,The second ad says Mr. Weicker was n't always sleeping,9,0,to rest in a state of sleep
besieged,"When radicals besieged his hotel while he was visiting Seoul last week , he promised them he would make yet another effort to play up to North Korea -- by renewing the offer to let the North host several Olympic events",2,0,to surround with armed forces
plow,"In late June , for example , a group that included Teddy Roosevelt 's great - great - granddaughter stood down some bulldozers trying to plow a road through a moor near the island village of Siasconset",25,0,"to cut into, open, or make furrows or ridges in with or as if with a plow"
stuck,Unless Medicare wants to come up with the resources to fund competent inspection it looks as if we are going to be stuck with the work of the hacks currently doing the job,22,1,"to become blocked, wedged, or jammed"
attacked,Tamil militants attacked and set fire to two Moslem fishing villages in eastern Sri Lanka,2,0,to set upon or work against forcefully
killed,"The deal was finally killed by MCA management , Mr. Olson says",4,1,"defeat , veto"
step,"It is to correct for such gaps in market operations -LRB- or '' externalities , '' as economists call them -RRB- that governments have a responsibility to step in and lend a helping hand",27,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
struck,"If a deal is struck , the 767s will replace aging Soviet - made Ilyushins on LOT 's Warsaw - New York and Warsaw - Chicago routes",4,1,to shake (hands) in confirming an agreement
fixed,"Under prospective payment , the charges are fixed in advance , and hospitals can no longer play Robin Hood",7,0,"to make firm, stable, or stationary"
absorb,"While reconstruction projects may initially absorb many of the workers , the need to find work for men demobilized from Iraq 's million - strong army makes it unlikely that guest labor will remain at current levels",5,1,to take in and make part of an existent whole
planted,"Whalers , traders and missionaries planted seedlings at settlements scattered along the chain",5,0,to put or set in the ground for growth
cooling,"The rate increase by West Germany was a surprise , however , because some economists thought the Bundesbank would n't risk cooling its domestic economy",21,1,to slow or lessen the growth or activity of
flourish,Industry consultants predict groupware will flourish because personal - computer software that helps individuals work better has n't noticeably increased the productivity of groups,5,1,to reach a height of development or influence
dissolves,"An initially orderly crowd dissolves into a melee of people swapping pins , Frisbees , and bubble gum",4,1,to separate into component parts : disintegrate
lent,Regulators are expected to issue soon a statement to reassure firms that have lent to the thrift unit of troubled Financial Corp. of America,13,0,to make a loan
flow,"'' Germany is being regarded more and more as a high - cost producer of goods , and money will flow more and more to countries that produce more efficiently , '' said Christopher S. Bourdain , a senior financial markets adviser at BankAmerica International",20,1,to move with a continual change of place among the constituent particles
lending,"Mexico wants to be able to borrow from international banks again , and retiring its bank debt at about 70 cents on the dollar may discourage many banks from lending it more money , bankers said",29,0,to let out (money) for temporary use on condition of repayment with interest
pours,"As each diver plunges into a cage , Mr. Roessler pours a smelly dipper of chum on top of him : the initiation rite",10,0,to cause to flow in a stream
stick,"But rock - bottom discounters who stick to that philosophy limit themselves , he says , because '' We 'll always be a niche player for a certain type of client",6,1,to hold fast or adhere resolutely : cling
flying,"To keep those flowerpots from flying , companies more and more try to prepare employees for working with AIDS patients",5,1,"to move, pass, or spread quickly"
killing,"Iran retaliated by firing two missiles that struck Baghdad , killing or injuring an unspecified number of people",10,0,to deprive of life : cause the death of
rolled,"We groaned on cue as he rolled over , stood the airplane on its tail and hurtled straight up to a stall at 6 , 000 feet , white smoke trailing from smoke generators at his wingtips",6,0,to turn over and over
fixed,Mr. Schlachter was drawn to Maaco after talking with a franchisee who fixed a friend 's car,12,0,"repair , mend"
stepped,'' Compaq has stepped into the market and is arguably the leader in performance and functions for the price,3,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
flowed,From the seminars flowed requests for help in updating substandard tanks,3,1,abound
knocked,An earthquake that shook Los Angeles in October knocked out computer equipment at California Federal Savings and Loan Association,8,1,"to drive, force, or make by or as if by so striking"
missed,"In '' As Session Ends , Democrats Can Brag a Little , but They Dropped a Big One '' -LRB- back page , Dec. 18 -RRB- , you missed the biggest accomplishment of the congressional Democrats",28,1,"to fail to hit, reach, or contact"
escape,"Even Mr. MacKay ca n't escape the national party virus altogether , however",5,1,to get or stay out of the way of : avoid
targeting,"Because genetic targeting marries sophisticated organic chemistry with molecular genetics , Gilead says it sidesteps some of the messier problems of conventional biotechnology -- particularly the manufacture of human proteins",2,1,to direct or use toward a target
escape,Some are trying to escape childhoods troubled by missing fathers or drug - addicted mothers,4,1,to get or stay out of the way of : avoid
touches,"To find out the time , a user simply touches a button and the screen displays the time and date",9,0,to strike or push lightly especially with the hand or foot or an implement
drink,"Winos will drink anything if need be , but when they have the money to buy what they want , they tend to hew to the familiar . -LRB- Sales resistance may help explain why the handful of low - end products that companies have tried to launch in the past 20 years mostly have bombed . -RRB-/-R",2,0,"swallow , imbibe"
stumbled,"Mr. Dukakis is generally cast in that role , but he has stumbled badly twice in a row -- in Illinois and now in Michigan",12,1,to speak or act in a hesitant or faltering manner
flowed,"In February , money flowed out of stock funds for the first time since October",4,1,to derive from a source : come
rained,"'' I was in the stands when it rained , '' said Victor Lespinasse , a floor broker for Dean Witter Reynolds , Chicago",8,0,to send down rain
evaporates,"Trading volume often evaporates just ahead of the monthly employment statistics , which are exceptionally difficult to predict",3,1,to diminish quickly
flourish,"The reservoir , used mostly for agriculture , is the source of the artesian wells that allowed oases to flourish along the coast for hundreds of years",19,0,to grow luxuriantly : thrive
flowing,"The Investment Company Institute , a Washington - based trade association , said the increase partly reflected money flowing back to the funds from longer - term debt instruments amid this week 's uneven bond - market performance",18,1,to derive from a source : come
danced,He tap - danced around the stage to his own falsetto and flopped to the floor to the accompaniment of his booming bass,3,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
drove,"But when the rangers drove the girls to the ranger station , the unattended youth sped away , drank heavily , and 10 hours later smashed into a motorcyclist",4,0,to partake of alcoholic beverages
roll,"Most of the machinery in Toyota Motor Corp. 's $ 800 million auto plant in Georgetown , Ky . , came from Japan , for example , and Toyota spokesmen say that when the first cars roll off the assembly line this spring , 40 % of the total value will be imported",36,0,"to move onward or around as if by completing a revolution : elapse , pass"
knocked,"You could have knocked me over , '' said Joseph Ronning of Brown Brothers Harriman & Co",3,1,to strike sharply
flow,"Gifts flow from commodity brokers , Wall Street houses , developers , insurance firms , Pentagon suppliers , oil companies and labor unions , including the Teamsters",1,1,to derive from a source : come
grabbed,National Broadcasting Co. 's '' Main Event '' won the ratings race for the 8 p.m .- to-9 p.m. time period Friday -- and grabbed the highest NBC ratings for that time slot so far this season,24,1,to obtain without consideration of what is right or wrong
attacking,These pamphlets were among dozens written just after the Tulipmania by anti - speculative partisans attacking the speculative markets and especially futures trading,15,1,to assail with unfriendly or bitter words
touch,"The official , a member of the trade ministry 's Mideast and Africa office , said that '' fundamentally , '' the presidents accepted the request for caution but that the talks did n't touch on any specific measures for slowing trade with South Africa",34,1,to treat a topic in a brief or casual manner
sleep,"On the show , he has threatened to broadcast the home phone numbers of port commissioners so that residents who ca n't sleep Sunday night can call them up and keep the officials awake",22,0,to rest in a state of sleep
cooling,"Still , pension plans appeared to be cooling off on their earlier infatuation with small - stock strategies",7,1,to slow or lessen the growth or activity of
rain,Pyongyang would like nothing better than to rain on Seoul 's parade,7,1,to send down rain
struck,"But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who struck Ford 's British plants eight days ago",23,0,to engage in a strike against (an employer)
lend,So the same Congress that runs a budget deficit so that foreigners have to lend us money wants to make it more difficult for foreigners to lend us money,26,0,to let out (money) for temporary use on condition of repayment with interest
dissolving,"If Mr. Icahn is successful in dissolving that agreement , he could seek Pennzoil 's support for his plan , which , like Texaco 's plan , includes a $ 3 billion settlement",6,1,annul
missed,"It missed some opportunities , for example , because it had n't made sure AT & T 's salesmen received incentives for pushing its products",1,1,"to fail to hit, reach, or contact"
dragged,A recently proposed credit for Ecuador has yet to be completed and Brazil 's bank debt talks have dragged on for weeks longer than expected,18,1,to proceed or continue laboriously or tediously
stumble,"For the first century of its existence , the republic somehow managed to stumble along , winning independence , surviving civil war , without any pledge at all",13,1,to walk unsteadily or clumsily
lend,"Since the international debt crisis erupted in 1982 , banks have been increasingly reluctant to lend to Latin American countries",15,0,to let out (money) for temporary use on condition of repayment with interest
stuck,"Some burn out nearly overnight , leaving someone stuck with lots of unmovable inventory",8,1,"to become blocked, wedged, or jammed"
kick,"With their boss routinely delving into the nuts and bolts of prospective projects -LRB- he likes to '' kick the tires , '' says a colleague -RRB- , Mr. Schwartz 's team of 20 people spends roughly two - thirds of their time analyzing alternative proposals",18,1,to strike out with the foot or feet
rest,He said he hoped the new exam would help put to rest recurring charges by teacher unions and others that existing teacher tests do n't accurately assess classroom skills and are unfair to minorities,11,1,a state of motionlessness or inactivity
absorb,But he said Cigna 's after - tax gain wo n't be material because the company will absorb certain deferred taxes of the division,17,1,"assume , bear"
poured,"Public anger reached its zenith April 30 , 1982 , when angry mobs stopped three taxis bearing margis , dragged them from their cars , bludgeoned and poured acid on them and finally burned them to death",27,0,to cause to flow in a stream
attack,"Pull out the big stick , of course , and attack the Democrats",10,1,to assail with unfriendly or bitter words
killed,"A young woman , dying of cancer , is killed by a doctor",9,0,to deprive of life : cause the death of
miss,"Although his colleagues were n't eager to satisfy him , they were even less eager to miss their flights home and a weekend of campaigning",16,0,"to fail to hit, reach, or contact"
step,The Duracell sale seems certain to step up pressure on management to sustain recent improvements in profit performance,6,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
dragged,"The Japanese government is still reeling from U.S. accusations last summer that MITI dragged its feet in investigating the shipment by the Toshiba unit , Toshiba Machine Co . , of sophisticated milling machines to a Soviet shipyard in 1983 and 1984",13,1,to cause to move with slowness or difficulty
lend,"Edward J. DeBartolo , a Youngstown , Ohio , shopping store operator , has agreed to lend Campeau 's U.S. holding company $ 400 million for the Federated bid",16,0,to let out (money) for temporary use on condition of repayment with interest
ate,"Richard DeVane , president of the company 's fossil systems business , said it appears that oxygen in the fresh air combined with either sulfur , zinc or chloride to produce an oxide that ate away the boiler wall 's iron - oxide protective coating",34,1,to consume gradually : corrode
plow,"He said the legislation should n't be so generous as to induce any farmers to plow under their crops , and should n't '' bust the budget . '",15,0,to undergo plowing
flourished,"But entertainment flourished , with audio and video items logging the biggest quarterly increase in consumption -- $ 23.2 billion",2,1,to reach a height of development or influence
flourishing,"It reveals that while PACs are flourishing , political competition is n't",6,1,to reach a height of development or influence
steps,"Mr. Damore , who covered the incident for the Cape Cod News , is a disciplined and relentless writer who makes his case more devastating because he never steps back and editorializes",28,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
evaporated,"A purported $ 16-a - share offer for Superior Industries International Inc. evaporated yesterday after a flurry of activity in which one supposed player , Prudential - Bache Securities Inc . , denied it had authorized such a buy - out offer",12,1,to pass off or away : disappear
stepped,"Mr. Smith , 44 years old , succeeds Gary W. Rhodes , 40 , who has stepped down to chief financial officer for '' purely personal and family reasons , '' according to the company",16,1,to be on one's way : leave
absorb,"First Federal was then to absorb several other troubled thrifts in federally assisted mergers , as part of the Federal Savings and Loan Insurance Corp. 's so - called Southwest Plan to rescue the many ailing savings and loans based in the region",5,1,to take in and make part of an existent whole
absorbs,The yellow beta carotene pigment absorbs blue -LRB- not yellow -RRB- laser light,5,0,to transform (radiant energy) into a different form especially with a resulting rise in temperature
flying,"As usual , Ms. Larsen strove to avoid the obvious by focusing on her emotional response rather than the natural phenomenon itself : '' I want to give the listener not the sound of a bird as much as the feeling of flying . '",42,0,to move in or pass through the air with wings
planted,Many had believed that the heavier - than - expected weekend rains would dampen for at least several days a rally that has been based primarily on conjecture that the newly planted corn and soybean crops were too dry to start growing,31,0,to put or set in the ground for growth
pour,"Every day his troops gather under the green , red and black banner of black nationalism and pour out a stream of racial abuse",17,1,to move or come continuously : stream
dragging,Sales are dragging for many reasons,2,1,to hang or lag behind
stepping,Government investigators said they are stepping up efforts to gain the cooperation of numerous figures in the Pentagon bribery - and - fraud scandal and hope to obtain the assistance of dozens of key witnesses within two months,5,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
pumped,The case makes New York state seem almost ungrateful for the way it responded to a federal law that pumped $ 675 million of Uncle Sam 's funds into 21 troubled New York thrifts a few years ago,19,1,"to pour forth, deliver, or draw with or as if with a pump"
filled,"Since then , Mr. Cahouet has filled nearly every major spot in Mellon 's upper management with executives from New York and West Coast banking centers",6,0,to possess and perform the duties of : hold
rolled,"This was obvious in the professional manner in which he rolled across the stadium floor after firing on his target , hoping to avoid being shot by Mr. Ozal 's bodyguards",10,0,to move along a surface by rotation without sliding
eating,"Last October , he surpassed his own record by eating 2.6 kilograms",9,0,to take food or a meal
drank,"Its theme -- Peter dragging Russia out of the dank Dark Ages -- is vast and lofty , and perhaps only a man who dreamed and drank too much would have had the gumption to cut so wide and deep a swath into the heart of Russia",26,0,to partake of alcoholic beverages
miss,"There 's that damn ball of the Renthals that Laurence insists I not miss , and the Todesco wedding , and the final gala for the ballet where I ' m the chairperson",13,0,to fail to perform or attend
stepped,A Campeau spokeswoman said First Boston stepped in with bridge financing at the last moment yesterday because Security Pacific has n't completed reviewing details of Campeau 's latest offer,6,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
attacked,'' Otherwise we will also be attacked . ',6,1,to set upon or work against forcefully
drag,"'' We wanted an arresting headline that would drag people into the body copy , '' says Tambrands spokesman Paul Konney",8,1,protract
