txt_type,seg_id,sen_id,sentence,POS,words_label,words_gloss
F,fiction_10_v.2.txt,39,哪 能 看到 这 千军万马 领头人 小 窗 边 的 月亮 ？,"['r','v','v','r','i','n','a','ng','k','u','n','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', '看见，见到', '此,指目前的或较近的或刚刚提到的人、物、事或想法', 'NULL', 'NULL', '形容事物在体积、面积、数量、力量、强度等方面不及一般的或不及比较的对象', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
A,academic_24_v.2.txt,8,０．２ 后来 有 了 汉字 。,"['m','t','v','u','nz','ew']","['0', '0', '0', '0', '0', '0']","['NULL', 'NULL', '发生,呈现;产生', 'NULL', 'NULL', 'NULL']"
A,academic_18_v.2.txt,40,事实 的 时 新 性 主要 表现 在 是 首 次 发生 的 ， 是 有 新意 的 ， 是 包含 着 创新 精神 的 ， 是 揭示 某种 新 的 思想 、 新 的 观点 的 等等 。,"['n','u','n','an','ng','ad','v','p','v','m','q','v','u','w','v','v','n','u','w','v','v','u','vn','n','u','w','v','v','r','a','u','n','w','a','u','n','u','u','ew']","['0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '表示出来；显现出来', '表示动作、情状所涉及的处所、时间、范围等', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '具有,与“无”相对', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '亦作“剏新”。创立或创造新的', 'NULL', 'NULL', 'NULL', 'NULL', '指出或阐明不易看清的事物', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
A,academic_01_v.2.txt,13,肥胖 的 遗传 倾向 还 表现 在 脂肪 细胞 数目 和 （ 或 ） 细胞 体积 增大 。,"['a','u','vn','n','d','v','p','n','n','n','c','w','c','w','n','n','v','ew']","['0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', '表示出来；显现出来', '在于;决定于', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
F,fiction_18_v.2.txt,25,小 的 时候 ， 爹地 经常 带 我 来 。,"['a','u','n','w','n','d','v','r','v','ew']","['1', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['通“少”。年幼', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '引导某人或某物', 'NULL', '由彼至此;由远到近。与“去”、“往”相对', 'NULL']"
F,fiction_04_v.2.txt,31,他 早就 听 黄 映红 的 小组长 反映 说 ， 黄 映红 情绪 不好 ， 进 厂 后 是 那 批 青工 中 技术 最 差 的 一个 ， 而且 常常 迟到 早退 。,"['r','d','v','nr','nr','u','n','v','v','w','nr','nr','n','a','w','v','n','f','v','r','q','n','f','n','d','a','u','m','w','c','d','v','v','ew']","['0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', '名字', 'NULL', 'NULL', 'NULL', '把情况或意见等向上级转达、报告', 'NULL', 'NULL', '名字', 'NULL', 'NULL', 'NULL', 'NULL', '入,走入 [一个地方]', 'NULL', '时间较迟或较晚。与“先”相对', 'NULL', '指前文提到的或根据上下文或根据当时的情况显然所指的某个人或物', 'NULL', 'NULL', '内,里面。与“外”相对', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
A,academic_11_v.2.txt,4,基因 的 精确 复制 ， 保证 了 遗传 信息 的 代代相传 ；,"['n','u','a','vn','w','v','u','vn','n','u','l','ew']","['0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', '担保；担保做到', 'NULL', 'NULL', '现代科学指事物发出的消息、指令、数据、符号等所包含的内容。人通过获得、识别自然界和社会的不同信息来区别不同事物，得以认识和改造世界。在一切通讯和控制系统中，信息是一种普遍联系的形式', 'NULL', 'NULL', 'NULL']"
N,news_12_v.2.txt,28,你 认识 他 ？ ＂,"['r','v','r','ew','w']","['0', '0', '0', '0', '0']","['NULL', '能够确定某一人或事物是这个人或事物而不是别的', 'NULL', 'NULL', 'NULL']"
N,news_07_v.2.txt,6,老汉 叫 杨 老章 ， ８１ 岁 ， 家住 头陀区 北洋镇 新建村 。,"['n','v','nr','nr','w','m','q','w','v','ns','ns','ns','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
F,fiction_02_v.2.txt,52,不管 我 多么 一厢情愿 地 认为 妈 能 活 到 九十五 。,"['c','r','d','i','u','v','n','v','v','v','m','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', '对人或事物确定某种看法，做出某种判断', 'NULL', 'NULL', '生存。与“死”相对', '用作动词的补语,表示动作达到目的或有了结果', 'NULL', 'NULL']"
F,fiction_19_v.2.txt,29,剃头佬 清 了 清 喉咙 ， 给 喜形于色 的 人们 ， 兜头 泼 了 一 瓢 冷水 。,"['nr','v','u','v','n','w','v','i','u','n','w','d','v','u','m','q','n','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0']","['NULL', '清理', 'NULL', '清理', 'NULL', 'NULL', '表示对象、目的,相当于“为”、“替”', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '水漏出。用力向外倒或洒', 'NULL', 'NULL', 'NULL', '凉水', 'NULL']"
F,fiction_18_v.2.txt,50,＂ 往 回 游 吧 。,"['w','p','v','v','y','ew']","['0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
N,news_22_v.2.txt,34,挤 到 前面 的 刚 在 暗自 庆幸 ， 哪 料 身后 的 ＂ 冲击波 ＂ 一阵 强 似 一阵 ， 有人 不禁 失声 ： ＂ 挤 死 了 ！ ＂,"['v','v','f','u','d','u','d','v','w','r','v','f','u','w','n','w','m','a','p','m','w','r','d','v','w','w','v','v','y','ew','w']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']","['NULL', '用作动词的补语,表示动作达到目的或有了结果', '接近正面的空间；空间或位置靠前的部分', 'NULL', 'NULL', '才;正在', 'NULL', 'NULL', 'NULL', 'NULL', '估量;揣度;料想', 'NULL', 'NULL', 'NULL', '比喻使某种事物受到影响的强大力量', 'NULL', '表数量。用于延续一段时间的事物、现象', '略多于…的', 'NULL', '表数量。用于延续一段时间的事物、现象', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '甚;极', 'NULL', 'NULL', 'NULL']"
N,news_15_v.2.txt,97,＂ 请问 ... ... ＂ 记者 向 一 位 佩戴 ３７２３９ 警号 的 交警 问路 。,"['w','v','w','w','w','n','p','m','q','v','m','n','u','j','v','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '朝着', 'NULL', '用于人（含敬意）', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
A,academic_18_v.2.txt,55,（ 七 ） 趣味性 。,"['w','m','w','n','ew']","['0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
A,academic_22_v.2.txt,59,往往 以 河流 流域 为 单位 进行 土地 使用 规划 和 管理 。,"['d','p','n','n','p','n','v','n','vn','n','c','vn','ew']","['0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0']","['NULL', '依,按,凭 ——表示动作行为的凭借或前提。犹言凭、根据', 'NULL', 'NULL', '充当', '计算事物数量的标准。如“米”为计量长度的单位，“秒”为计算时间的单位，“克”为计算重量或质量的单位，等等', 'NULL', '田地；土壤', 'NULL', 'NULL', 'NULL', '料理；治理', 'NULL']"
N,news_11_v.2.txt,8,你 看 那 ， 给 个 局长 都 不 干 。 ＂,"['r','v','r','w','v','q','n','d','d','v','ew','w']","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', '瞧;观看', '指前文提到的或根据上下文或根据当时的情况显然所指的某个人或物', 'NULL', '使对方得到或遭受到', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
F,fiction_15_v.2.txt,93,他 叫 。,"['r','v','ew']","['0', '0', '0']","['NULL', 'NULL', 'NULL']"
F,fiction_19_v.2.txt,41,人们 愕然 得 张口结舌 。,"['n','a','u','i','ew']","['0', '0', '0', '0', '0']","['NULL', 'NULL', '用在动词或形容词后面,连接表示程度或结果的补语', 'NULL', 'NULL']"
F,fiction_11_v.2.txt,91,＂ 行 了 ， 瞧 你 老娘 们 儿 样 儿 ， 再 买 一 筐 不 得了 。 ＂,"['w','v','y','w','v','r','n','k','ng','ng','ng','w','d','v','m','q','d','y','ew','w']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
F,fiction_19_v.2.txt,9,随着 一 声 讪笑 ， 出现 了 剃头佬 那 秃 了 顶 、 但 剩余 的 头发 梳理 得 油光 水 滑 的 脑袋 。,"['p','m','q','vn','w','v','u','nr','r','a','u','ng','w','c','v','u','n','v','u','z','n','a','u','n','ew']","['1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['用在句首或动词前面,表示动作、行为或事件的发生所依赖的条件', 'NULL', 'NULL', 'NULL', 'NULL', '显露出来；呈现', 'NULL', 'NULL', '表示突出强调某人、事物或语意', 'NULL', 'NULL', '人头的最上端', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '用在动词或形容词后面,连接表示程度或结果的补语', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
N,news_14_v.2.txt,54,事情 总 有 不 顺利 的 一面 ， 现场 办公会 上 虽然 说 马上 开始 维修 ， 但 我们 等 文件 等到 了 １０月 ８日 ， 因为 文件 下不来 ， 就 很 难 办事 。,"['n','d','v','d','a','u','n','w','s','n','f','c','v','d','v','v','w','c','r','v','n','v','u','t','t','w','c','n','v','w','d','d','ad','v','ew']","['0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', '具有,与“无”相对', 'NULL', 'NULL', 'NULL', '一个方面。有时指一方的重任', 'NULL', 'NULL', 'NULL', '用在名词后，表示在某种事物的范围以内', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '指受窘，难为情', 'NULL', '用在动词前面,表示在某种条件或情况下自然怎么样', 'NULL', 'NULL', 'NULL', 'NULL']"
A,academic_10_v.2.txt,6,口语 表达 的 根本 目的 ， 在于 使 听者 感知 和 理解 讲说 者 所 表达 的 思想 内容 ， 实现 其 社会 交际 的 作用 。,"['n','vn','u','a','n','w','v','v','n','v','c','v','v','k','u','v','u','n','n','w','v','r','n','vn','u','n','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', '表示（思想、感情）', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '指了解，认识', 'NULL', 'NULL', 'NULL', '表示（思想、感情）', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '指由一定的经济基础和上层建筑构成的整体。原始社会、奴隶社会、封建社会、资本主义社会、共产主义社会是人类社会的五种基本形态', 'NULL', 'NULL', 'NULL', 'NULL']"
N,news_01_v.2.txt,6,他俩 都 是 武钢 烧结 厂 职工 。,"['r','d','v','j','vn','n','n','ew']","['0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
F,fiction_11_v.2.txt,80,那 可是 一 块 多 一 斤 的 呀 ， 一个 月 工资 能 买 几 斤 ？,"['r','c','m','q','m','m','q','u','y','w','m','n','n','v','v','m','q','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['表示突出强调某人、事物或语意', 'NULL', 'NULL', 'NULL', '[数词]∶[用于数量词后] 表示整数以下的余数或零头', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
N,news_08_v.2.txt,40,稚嫩 的 歌声 在 教室 里 萦绕 ， 泪花 在 每个 人 的 脸上 闪动 。,"['a','u','n','p','n','f','v','w','n','p','r','n','u','s','v','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', '表示动作、情状所涉及的处所、时间、范围等', 'NULL', '里面；内部（跟“外”相对）', 'NULL', 'NULL', 'NULL', '表示动作、情状所涉及的处所、时间、范围等', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
F,fiction_13_v.2.txt,19,没 你 什么 事儿 。 ＂,"['v','r','r','n','ew','w']","['0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
F,fiction_03_v.2.txt,46,但是 我 也 不 是 经商 的 料 。,"['c','r','d','d','v','v','u','n','ew']","['0', '0', '0', '0', '0', '0', '0', '1', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '材料;原料', 'NULL']"
N,news_12_v.2.txt,40,＂ １６０ 张 ！ ＂,"['w','m','q','ew','w']","['0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
N,news_17_v.2.txt,27,面对 这样 一 支 被 认为 是 香港 历来 实力 最 强 的 队伍 ， 中国队 利用 对方 组队 不久 ， 配合 尚 欠 默契 的 弱点 ， 一方面 紧 盯 对方 锋线 上 的 几 名 外籍 球员 ， 使 他们 ＂ 孤掌难鸣 ＂ ， 另一方面 不时 从 边线 发动 攻势 ， 终于 在 上半场 ３０ 分钟 时 ， 前锋 马林 在 对方 禁区 内 接到 传中球 劲射 入网 ， 奠定 了 胜局 。,"['v','r','m','q','p','v','v','ns','d','n','d','a','u','n','w','nt','v','n','v','a','w','v','d','v','a','u','n','w','c','d','v','n','n','f','u','m','q','n','n','w','v','r','w','i','w','w','c','d','p','n','v','n','w','d','p','n','m','q','ng','w','n','nr','p','n','n','f','v','n','v','v','w','v','u','n','ew']","['1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['犹面向', 'NULL', 'NULL', '用于计队伍等', 'NULL', '对人或事物确定某种看法，做出某种判断', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '优越;好', 'NULL', '有组织的行列', 'NULL', 'NULL', '借助外物以达到某种目的；用手段使人或事物为自己服务', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '缺少', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '急促;迫切', 'NULL', 'NULL', 'NULL', '用在名词后，表示在某种事物的范围以内', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '自,由 ——用作虚词,表示起点', 'NULL', '奋起行动', '向敌方进攻的行动或形势', 'NULL', 'NULL', '表示动作、情状所涉及的处所、时间、范围等', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '表示动作、情状所涉及的处所、时间、范围等', 'NULL', 'NULL', '里面。与“外”相对', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
N,news_21_v.2.txt,3,过 春节 ， 好 拜年 。,"['v','t','w','a','v','ew']","['1', '0', '0', '0', '0', '0']","['度过;过活', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
N,news_01_v.2.txt,14,没 被 国际 竞赛 的 数学 难题 难倒 的 数学 王子 竟 被 眼前 这 道 题 难 住 了 。,"['d','p','n','vn','u','n','n','v','u','n','n','d','p','f','r','q','n','a','v','u','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '天子或王的儿子', 'NULL', 'NULL', '目下；现时', '“这”( zhè)的口语音 。常用在量词或数量词前', 'NULL', '题目;标题', 'NULL', '表示停止或静上', 'NULL', 'NULL']"
N,news_07_v.2.txt,7,９日 晚 ， 暴雨 再次 如 注 ， 洪水 淹 到 他家 住房 二 楼 ， 几 位 乡村 干部 冲进 屋 来 ， 不容分说 扶 他 离开 危房 ， 安顿 在 灯泡 厂 ， 还 给 他 送 去 面包 、 饼干 。,"['t','tg','w','n','d','v','vg','w','n','v','v','r','n','m','n','w','m','q','n','n','v','n','v','w','i','v','n','v','n','w','v','p','n','n','w','d','p','r','v','v','n','w','n','ew']","['0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '灌入,注入', 'NULL', 'NULL', 'NULL', '用作动词的补语,表示动作达到目的或有了结果', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '用于人（含敬意）', 'NULL', 'NULL', 'NULL', 'NULL', '表示动作的趋向', 'NULL', 'NULL', '搀扶', 'NULL', '同人、物、地分开', 'NULL', 'NULL', 'NULL', '表示动作、情状所涉及的处所、时间、范围等', 'NULL', 'NULL', 'NULL', 'NULL', '表示对象、目的,相当于“为”、“替”', 'NULL', '馈赠', '用在谓词或谓词结构后表示趋向或持续', 'NULL', 'NULL', 'NULL', 'NULL']"
